E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     25.30    0.00    0.00    0.00    0.00
  1     200         10.15  14042.57    0.00    0.00    0.00    0.00
  4     400         36.48   2392.78    0.00    0.00    0.00    0.00
  7     600         29.57   1224.37    8.00   50.00    4.35    0.08
 11     800         54.21   1423.06   26.09   39.13   19.57    0.26
 16    1000         92.33   1391.84   25.97   32.26   21.74    0.26
 22    1200         55.74   1065.61   60.53   76.67   50.00    0.61
 29    1400         42.54    639.98   60.24   67.57   54.35    0.60
 38    1600         41.24    290.27   54.76   60.53   50.00    0.55
 49    1800         35.83    122.94   54.12   58.97   50.00    0.54
 62    2000         22.93     51.54   52.38   57.89   47.83    0.52
 78    2200         15.07     25.08   50.00   55.26   45.65    0.50
 98    2400         13.93     24.03   52.38   57.89   47.83    0.52
118    2600          9.95      8.82   53.01   59.46   47.83    0.53
138    2800         13.95     12.43   50.57   53.66   47.83    0.51
