E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     25.30    0.00    0.00    0.00    0.00
  1     200         10.15  14042.57   56.72   90.48   41.30    0.57
  4     400         36.48   2392.78   56.72   90.48   41.30    0.57
  7     600         29.57   1224.37   57.14   83.33   43.48    0.57
 11     800         54.21   1423.06   45.00   52.94   39.13    0.45
 16    1000         92.33   1391.84   40.00   43.59   36.96    0.40
 22    1200         55.74   1065.61   71.43   78.95   65.22    0.71
 29    1400         42.54    639.98   67.42   69.77   65.22    0.67
 38    1600         41.24    290.27   60.67   62.79   58.70    0.61
 49    1800         35.83    122.94   60.00   61.36   58.70    0.60
 62    2000         22.93     51.54   58.43   60.47   56.52    0.58
 78    2200         15.07     25.08   56.18   58.14   54.35    0.56
 98    2400         13.93     24.03   58.43   60.47   56.52    0.58
118    2600          9.95      8.82   59.09   61.90   56.52    0.59
138    2800         13.95     12.43   54.95   55.56   54.35    0.55
