E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     25.30    0.00    0.00    0.00    0.00
  1     200         10.14  14042.20   56.72   90.48   41.30    0.57
  4     400         36.46   2392.60   56.72   90.48   41.30    0.57
  7     600         29.52   1224.71   57.14   83.33   43.48    0.57
 11     800         55.85   1430.65   45.00   52.94   39.13    0.45
 16    1000         92.10   1393.14   37.65   41.03   34.78    0.38
 22    1200         54.95   1064.79   71.43   78.95   65.22    0.71
 29    1400         42.05    633.99   63.64   66.67   60.87    0.64
 38    1600         40.87    287.06   60.67   62.79   58.70    0.61
 49    1800         34.80    120.10   60.00   61.36   58.70    0.60
 62    2000         22.03     50.19   60.67   62.79   58.70    0.61
 78    2200         15.06     25.35   56.18   58.14   54.35    0.56
 98    2400         14.89     24.83   58.43   60.47   56.52    0.58
118    2600         11.16     10.13   59.09   61.90   56.52    0.59
138    2800         13.54     12.04   53.33   54.55   52.17    0.53
