E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     15.55   59.09   45.35   84.78    0.59
  1     200          0.00   1626.21   66.67   54.05   86.96    0.67
  4     400          0.00   1193.48   78.79   73.58   84.78    0.79
  7     600          0.00    737.64   82.98   81.25   84.78    0.83
 11     800          0.00    620.67   81.72   80.85   82.61    0.82
 16    1000          0.00    585.25   79.57   78.72   80.43    0.80
 22    1200          0.00    572.10   79.57   78.72   80.43    0.80
 29    1400          0.00    546.40   77.42   76.60   78.26    0.77
 38    1600          0.00    341.14   79.57   78.72   80.43    0.80
 49    1800          0.00    146.60   80.85   79.17   82.61    0.81
 62    2000          0.00     55.36   80.85   79.17   82.61    0.81
 78    2200          0.00     17.65   81.72   80.85   82.61    0.82
