E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00      0.72   42.53   28.83   81.03    0.43
  1     200          0.00   1594.26   45.10   31.51   79.31    0.45
  4     400          0.00   1168.59   54.67   44.57   70.69    0.55
  7     600          0.00    724.56   57.34   48.24   70.69    0.57
 11     800          0.00    623.83   56.74   48.19   68.97    0.57
 15    1000          0.00    589.25   52.48   44.58   63.79    0.52
 21    1200          0.00    586.20   51.43   43.90   62.07    0.51
 28    1400          0.00    562.78   51.43   43.90   62.07    0.51
 36    1600          0.00    406.67   54.29   46.34   65.52    0.54
 47    1800          0.00    189.98   54.29   46.34   65.52    0.54
 60    2000          0.00     63.97   54.29   46.34   65.52    0.54
 76    2200          0.00     27.78   53.90   45.78   65.52    0.54
