E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     11.26   49.16   36.27   76.30    0.49
  1     200          0.00   1562.13   54.35   42.21   76.30    0.54
  2     400          0.00   1261.72   71.57   65.24   79.26    0.72
  4     600          0.00    873.05   84.85   86.82   82.96    0.85
  7     800          0.00    826.64   84.01   84.33   83.70    0.84
 10    1000          0.00    798.03   83.90   84.85   82.96    0.84
 14    1200          0.00    801.90   85.39   86.36   84.44    0.85
 19    1400          0.00    809.44   83.77   85.38   82.22    0.84
 24    1600          0.00    699.18   86.04   87.69   84.44    0.86
 31    1800          0.00    477.70   84.73   87.40   82.22    0.85
 40    2000          0.00    291.36   84.41   86.72   82.22    0.84
 51    2200          0.00    189.21   83.52   86.51   80.74    0.84
 64    2400          0.00    124.10   84.85   86.82   82.96    0.85
 77    2600          0.00     69.71   86.04   87.69   84.44    0.86
 90    2800          0.00     47.78   85.61   87.60   83.70    0.86
104    3000          0.00     33.28   84.53   86.15   82.96    0.85
117    3200          0.00     26.62   84.85   86.82   82.96    0.85
