E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     10.43   51.06   38.05   77.59    0.51
  0     200          0.00   1702.25   58.70   45.87   81.47    0.59
  2     400          0.00   1339.47   78.73   73.06   85.34    0.79
  3     600          0.00    836.99   86.84   88.39   85.34    0.87
  5     800          0.00    783.32   86.88   91.43   82.76    0.87
  7    1000          0.00    789.69   86.52   87.28   85.78    0.87
 10    1200          0.00    833.37   84.78   85.53   84.05    0.85
 13    1400          0.00    870.69   84.21   85.71   82.76    0.84
 18    1600          0.00    820.96   85.15   86.28   84.05    0.85
 23    1800          0.00    647.53   86.71   87.67   85.78    0.87
 29    2000          0.00    460.16   87.45   87.83   87.07    0.87
 37    2200          0.00    346.53   87.45   87.83   87.07    0.87
 46    2400          0.00    251.44   87.01   87.39   86.64    0.87
 56    2600          0.00    163.36   86.77   87.34   86.21    0.87
 65    2800          0.00    107.86   86.96   87.72   86.21    0.87
 75    3000          0.00     88.49   85.96   87.50   84.48    0.86
 85    3200          0.00     61.14   86.90   88.05   85.78    0.87
 94    3400          0.00     53.22   86.15   87.89   84.48    0.86
104    3600          0.00     38.83   86.21   87.56   84.91    0.86
