E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     11.10   45.60   35.67   63.20    0.46
  0     200          0.00    523.02   74.76   71.12   78.80    0.75
  0     400          0.00    465.56   70.77   78.54   64.40    0.71
  1     600          0.00    395.35   79.01   90.67   70.00    0.79
  2     800          0.00    410.57   84.34   84.68   84.00    0.84
  3    1000          0.00    379.70   83.98   85.19   82.80    0.84
  4    1200          0.00    383.56   80.09   87.26   74.00    0.80
  5    1400          0.00    335.42   82.99   86.21   80.00    0.83
  7    1600          0.00    420.80   80.50   84.58   76.80    0.81
  9    1800          0.00    330.97   84.08   85.83   82.40    0.84
 12    2000          0.00    363.96   80.53   88.89   73.60    0.81
 16    2200          0.00    372.72   81.20   87.16   76.00    0.81
 20    2400          0.00    364.75   80.76   85.65   76.40    0.81
