E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     10.87   46.88   35.45   69.20    0.47
  0     200          0.00    445.00   71.96   94.77   58.00    0.72
  0     400          0.00    312.07   80.60   86.30   75.60    0.81
  1     600          0.00    236.91   86.16   84.03   88.40    0.86
  2     800          0.00    219.92   85.14   85.48   84.80    0.85
  3    1000          0.00    228.11   84.92   84.25   85.60    0.85
  4    1200          0.00    195.19   84.85   85.71   84.00    0.85
  5    1400          0.00    197.71   86.90   86.22   87.60    0.87
  7    1600          0.00    364.31   83.27   79.35   87.60    0.83
  9    1800          0.00    195.89   85.12   89.43   81.20    0.85
 12    2000          0.00    180.93   86.39   85.21   87.60    0.86
 16    2200          0.00    162.31   86.30   88.28   84.40    0.86
 20    2400          0.00    163.96   85.83   86.89   84.80    0.86
 24    2600          0.00    115.56   85.15   84.31   86.00    0.85
 28    2800          0.00    108.93   85.59   89.52   82.00    0.86
 32    3000          0.00     80.45   86.30   88.28   84.40    0.86
