E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     10.61   45.32   34.29   66.80    0.45
  0     200          0.00    420.88   80.09   90.86   71.60    0.80
  0     400          0.00    306.42   85.88   84.23   87.60    0.86
  1     600          0.00    248.14   87.11   85.11   89.20    0.87
  2     800          0.00    235.66   87.70   89.92   85.60    0.88
  3    1000          0.00    231.97   87.78   87.95   87.60    0.88
  4    1200          0.00    217.85   86.48   88.66   84.40    0.86
  5    1400          0.00    196.46   86.21   83.77   88.80    0.86
  7    1600          0.00    165.91   85.55   83.59   87.60    0.86
  9    1800          0.00    143.31   83.88   86.75   81.20    0.84
 12    2000          0.00    169.12   86.17   86.35   86.00    0.86
 16    2200          0.00    152.56   84.91   92.06   78.80    0.85
 20    2400          0.00    148.67   87.42   90.21   84.80    0.87
 24    2600          0.00     88.75   87.53   89.54   85.60    0.88
