E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00      9.97   43.59   33.26   63.20    0.44
  0     200          0.00    360.91   76.89   89.84   67.20    0.77
  0     400          0.00    358.07   79.66   84.68   75.20    0.80
  1     600          0.00    204.40   81.72   83.97   79.60    0.82
  2     800          0.00    225.62   83.96   83.14   84.80    0.84
  3    1000          0.00    221.99   83.47   86.32   80.80    0.83
  4    1200          0.00    189.46   86.11   85.43   86.80    0.86
  5    1400          0.00    130.79   82.61   90.48   76.00    0.83
  7    1600          0.00    166.88   81.39   88.68   75.20    0.81
  9    1800          0.00    137.63   83.71   86.38   81.20    0.84
 12    2000          0.00    120.49   81.40   89.86   74.40    0.81
 16    2200          0.00    111.60   83.53   83.87   83.20    0.84
 20    2400          0.00    117.97   79.27   92.06   69.60    0.79
 24    2600          0.00    118.19   81.14   82.30   80.00    0.81
 28    2800          0.00     62.28   82.86   84.58   81.20    0.83
