E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     10.43   47.20   35.82   69.20    0.47
  0     200          0.00    505.56   78.03   88.78   69.60    0.78
  0     400          0.00    375.21   84.58   83.59   85.60    0.85
  1     600          0.00    350.85   86.82   88.07   85.60    0.87
  2     800          0.00    378.07   87.50   91.30   84.00    0.87
  3    1000          0.00    334.70   80.27   91.33   71.60    0.80
  4    1200          0.00    319.58   83.55   91.04   77.20    0.84
  5    1400          0.00    365.78   82.16   85.34   79.20    0.82
  7    1600          0.00    292.40   84.19   86.50   82.00    0.84
  9    1800          0.00    266.76   83.47   88.74   78.80    0.83
 12    2000          0.00    284.44   82.57   85.78   79.60    0.83
 16    2200          0.00    295.23   81.51   85.84   77.60    0.82
 20    2400          0.00    280.73   85.55   83.59   87.60    0.86
