E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00      9.67   44.62   33.60   66.40    0.45
  0     200          0.00    351.91   75.29   89.07   65.20    0.75
  0     400          0.00    302.15   76.27   81.08   72.00    0.76
  1     600          0.00    204.09   81.45   87.21   76.40    0.81
  2     800          0.00    218.28   88.44   89.71   87.20    0.88
  3    1000          0.00    188.56   79.63   93.05   69.60    0.80
  4    1200          0.00    179.62   82.37   76.82   88.80    0.82
  5    1400          0.00    189.43   86.84   85.33   88.40    0.87
  7    1600          0.00    155.04   85.37   85.54   85.20    0.85
  9    1800          0.00    151.32   85.71   90.27   81.60    0.86
 12    2000          0.00    165.71   85.07   87.03   83.20    0.85
 16    2200          0.00     85.30   85.42   87.76   83.20    0.85
 20    2400          0.00     80.68   84.60   82.51   86.80    0.85
