E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00      9.96   46.82   40.23   56.00    0.47
  0     200          0.00    608.77   58.12   62.39   54.40    0.58
  0     400          0.00    659.70   66.34   87.01   53.60    0.66
  1     600          0.00    702.12   61.00   66.99   56.00    0.61
  2     800          0.00    623.52   78.82   91.53   69.20    0.79
  3    1000          0.00    608.86   77.98   78.78   77.20    0.78
  4    1200          0.00    629.30   77.39   74.26   80.80    0.77
  5    1400          0.00    540.01   78.51   81.20   76.00    0.79
  7    1600          0.00    588.75   78.34   86.47   71.60    0.78
  9    1800          0.00    477.51   77.97   82.88   73.60    0.78
 12    2000          0.00    432.11   82.73   88.58   77.60    0.83
 16    2200          0.00    403.21   77.24   90.81   67.20    0.77
 20    2400          0.00    533.09   80.33   82.35   78.40    0.80
 24    2600          0.00   1537.10   75.40   86.53   66.80    0.75
 28    2800          0.00    460.17   79.42   81.78   77.20    0.79
 32    3000          0.00    359.51   76.27   85.57   68.80    0.76
 36    3200          0.00    386.27   77.43   86.63   70.00    0.77
 40    3400          0.00    372.53   78.57   88.89   70.40    0.79
 44    3600          0.00    281.68   79.34   82.05   76.80    0.79
