E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     10.08   46.33   36.57   63.20    0.46
  0     200          0.00    545.03   68.81   90.26   55.60    0.69
  0     400          0.00    509.67   77.11   79.57   74.80    0.77
  1     600          0.00    466.18   75.11   86.46   66.40    0.75
  2     800          0.00    428.47   81.06   90.20   73.60    0.81
  3    1000          0.00    421.08   81.53   81.85   81.20    0.82
  4    1200          0.00    393.81   80.26   86.57   74.80    0.80
  5    1400          0.00    365.52   80.72   81.05   80.40    0.81
  7    1600          0.00    370.16   80.00   84.44   76.00    0.80
  9    1800          0.00    348.02   81.38   82.38   80.40    0.81
 12    2000          0.00    431.77   81.51   85.84   77.60    0.82
 16    2200          0.00    365.34   81.80   88.02   76.40    0.82
 20    2400          0.00    361.98   81.37   87.56   76.00    0.81
 24    2600          0.00    331.87   80.17   83.84   76.80    0.80
 28    2800          0.00    264.63   81.43   86.16   77.20    0.81
 32    3000          0.00    258.29   79.24   84.23   74.80    0.79
 36    3200          0.00    168.71   80.74   82.77   78.80    0.81
 40    3400          0.00    195.11   80.58   84.28   77.20    0.81
 44    3600          0.00    200.95   79.83   83.12   76.80    0.80
 48    3800          0.00    178.90   80.00   82.55   77.60    0.80
