E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     12.55   47.85   39.79   60.00    0.48
  0     200          0.00    690.54   62.53   67.28   58.40    0.63
  0     400          0.00    625.06   74.42   78.92   70.40    0.74
  1     600          0.00    582.98   68.92   86.67   57.20    0.69
  2     800          0.00    636.45   79.75   81.59   78.00    0.80
  3    1000          0.00    605.63   82.03   87.00   77.60    0.82
  4    1200          0.00    562.83   78.43   86.12   72.00    0.78
  5    1400          0.00    585.26   78.93   81.62   76.40    0.79
  7    1600          0.00    539.23   76.86   81.90   72.40    0.77
  9    1800          0.00    597.57   79.08   82.89   75.60    0.79
 12    2000          0.00    572.75   79.38   89.05   71.60    0.79
 16    2200          0.00    526.22   79.20   88.61   71.60    0.79
 20    2400          0.00    532.15   79.67   82.76   76.80    0.80
 24    2600          0.00    406.83   78.04   83.56   73.20    0.78
