E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00      9.91   42.11   33.18   57.60    0.42
  0     200          0.00    439.84   68.30   88.54   55.60    0.68
  0     400          0.00    415.75   73.77   79.00   69.20    0.74
  1     600          0.00    328.40   78.08   75.19   81.20    0.78
  2     800          0.00    335.72   80.71   90.55   72.80    0.81
  3    1000          0.00    309.03   72.46   77.03   68.40    0.72
  4    1200          0.00    373.93   81.12   81.45   80.80    0.81
  5    1400          0.00    242.98   81.27   76.41   86.80    0.81
  7    1600          0.00    212.10   82.93   84.30   81.60    0.83
  9    1800          0.00    226.57   80.44   90.50   72.40    0.80
 12    2000          0.00    186.84   75.88   91.53   64.80    0.76
 16    2200          0.00    220.67   79.46   89.90   71.20    0.79
 20    2400          0.00    197.95   79.92   84.75   75.60    0.80
 24    2600          0.00    123.91   80.35   87.32   74.40    0.80
 28    2800          0.00    164.57   79.56   89.50   71.60    0.80
 32    3000          0.00    120.60   80.58   83.33   78.00    0.81
 36    3200          0.00    149.77   79.20   79.20   79.20    0.79
