E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     11.85   50.73   38.08   76.00    0.51
  0     200          0.00    528.10   80.25   85.52   75.60    0.80
  0     400          0.00    408.90   81.36   86.49   76.80    0.81
  1     600          0.00    345.26   88.18   88.35   88.00    0.88
  2     800          0.00    325.59   82.83   89.35   77.20    0.83
  3    1000          0.00    337.32   82.56   92.12   74.80    0.83
  4    1200          0.00    336.98   84.93   83.14   86.80    0.85
  5    1400          0.00    340.34   86.51   85.83   87.20    0.87
  7    1600          0.00    329.08   84.73   81.02   88.80    0.85
  9    1800          0.00    318.79   86.01   88.56   83.60    0.86
 12    2000          0.00    350.58   86.48   88.66   84.40    0.86
 16    2200          0.00    312.92   85.94   85.10   86.80    0.86
