E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     10.16   42.88   34.29   57.20    0.43
  0     200          0.00    437.38   74.73   81.22   69.20    0.75
  0     400          0.00    494.21   63.37   58.45   69.20    0.63
  1     600          0.00    389.63   70.64   87.57   59.20    0.71
  2     800          0.00    374.08   83.12   87.95   78.80    0.83
  3    1000          0.00    408.86   84.71   83.08   86.40    0.85
  4    1200          0.00    332.52   81.12   76.14   86.80    0.81
  5    1400          0.00    313.36   84.98   83.98   86.00    0.85
  7    1600          0.00    329.27   80.33   84.21   76.80    0.80
  9    1800          0.00    230.70   79.30   76.78   82.00    0.79
 12    2000          0.00    350.65   80.53   88.89   73.60    0.81
 16    2200          0.00    292.59   79.01   90.67   70.00    0.79
 20    2400          0.00    235.40   83.16   84.36   82.00    0.83
 24    2600          0.00    166.71   80.09   90.86   71.60    0.80
 28    2800          0.00    161.37   78.74   83.11   74.80    0.79
 32    3000          0.00    158.16   76.08   88.36   66.80    0.76
