E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     10.51   44.23   36.90   55.20    0.44
  0     200          0.00    545.36   79.26   81.43   77.20    0.79
  0     400          0.00    730.85   77.16   86.57   69.60    0.77
  1     600          0.00    444.36   78.22   88.00   70.40    0.78
  2     800          0.00    455.64   79.51   80.66   78.40    0.80
  3    1000          0.00    413.11   77.63   90.43   68.00    0.78
  4    1200          0.00    364.21   76.83   78.10   75.60    0.77
  5    1400          0.00    370.89   84.54   82.76   86.40    0.85
  7    1600          0.00    471.75   83.30   83.81   82.80    0.83
  9    1800          0.00    343.46   77.82   81.58   74.40    0.78
 12    2000          0.00    316.33   78.83   90.21   70.00    0.79
 16    2200          0.00    449.24   80.50   83.62   77.60    0.80
 20    2400          0.00    320.64   79.12   87.80   72.00    0.79
 24    2600          0.00    272.86   79.92   83.77   76.40    0.80
 28    2800          0.00    273.53   80.51   85.59   76.00    0.81
 32    3000          0.00    235.25   78.59   87.68   71.20    0.79
