E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     10.42   46.66   34.70   71.20    0.47
  0     200          0.00    380.21   81.68   91.13   74.00    0.82
  0     400          0.00    254.26   82.23   85.04   79.60    0.82
  1     600          0.00    155.54   86.45   86.11   86.80    0.86
  2     800          0.00    131.80   87.01   89.79   84.40    0.87
  3    1000          0.00    102.61   84.37   90.78   78.80    0.84
  4    1200          0.00     76.11   85.15   84.31   86.00    0.85
  5    1400          0.00     44.84   87.22   88.48   86.00    0.87
  7    1600          0.00     51.45   87.27   88.16   86.40    0.87
  9    1800          0.00     62.11   86.69   87.40   86.00    0.87
 12    2000          0.00     56.93   86.94   88.75   85.20    0.87
 16    2200          0.00     53.76   87.68   88.57   86.80    0.88
 20    2400          0.00     41.85   86.60   89.36   84.00    0.87
 24    2600          0.00     39.06   87.52   86.67   88.40    0.88
 28    2800          0.00     26.50   87.01   89.79   84.40    0.87
 32    3000          0.00     27.52   86.35   86.69   86.00    0.86
 36    3200          0.00     39.38   86.17   85.16   87.20    0.86
 40    3400          0.00     37.26   87.63   88.89   86.40    0.88
 44    3600          0.00     27.50   86.12   87.92   84.40    0.86
 48    3800          0.00     37.08   85.60   88.14   83.20    0.86
