E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     10.36   46.92   34.89   71.60    0.47
  0     200          0.00    370.19   80.00   91.28   71.20    0.80
  0     400          0.00    259.22   82.45   84.17   80.80    0.82
  1     600          0.00    146.46   85.60   84.44   86.80    0.86
  2     800          0.00    136.43   87.80   89.26   86.40    0.88
  3    1000          0.00     95.44   84.08   85.83   82.40    0.84
  4    1200          0.00     73.18   86.45   86.11   86.80    0.86
  5    1400          0.00     51.18   87.08   86.56   87.60    0.87
  7    1600          0.00     60.58   88.32   87.45   89.20    0.88
  9    1800          0.00     54.78   85.54   85.89   85.20    0.86
 12    2000          0.00     49.58   85.15   84.31   86.00    0.85
 16    2200          0.00     53.73   87.03   86.85   87.20    0.87
 20    2400          0.00     53.76   85.19   87.71   82.80    0.85
 24    2600          0.00     32.52   86.57   86.75   86.40    0.87
 28    2800          0.00     33.00   85.24   88.74   82.00    0.85
 32    3000          0.00     23.94   86.23   87.30   85.20    0.86
 36    3200          0.00     31.52   83.79   88.44   79.60    0.84
