E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00      9.88   46.86   34.82   71.60    0.47
  0     200          0.00    361.00   79.00   92.02   69.20    0.79
  0     400          0.00    252.97   79.57   87.14   73.20    0.80
  1     600          0.00    135.43   86.22   84.88   87.60    0.86
  2     800          0.00    124.93   87.10   87.80   86.40    0.87
  3    1000          0.00     83.20   83.30   85.96   80.80    0.83
  4    1200          0.00     69.11   85.04   83.72   86.40    0.85
  5    1400          0.00     57.56   86.41   87.65   85.20    0.86
  7    1600          0.00     70.81   86.85   86.51   87.20    0.87
  9    1800          0.00     54.54   84.91   85.43   84.40    0.85
 12    2000          0.00     63.83   85.83   85.66   86.00    0.86
 16    2200          0.00     33.77   87.15   87.50   86.80    0.87
 20    2400          0.00     42.90   86.28   85.77   86.80    0.86
 24    2600          0.00     35.89   85.94   85.10   86.80    0.86
 28    2800          0.00     31.04   83.05   88.29   78.40    0.83
 32    3000          0.00     23.61   85.89   87.87   84.00    0.86
 36    3200          0.00     21.69   87.17   88.80   85.60    0.87
 40    3400          0.00     43.83   82.35   83.54   81.20    0.82
 44    3600          0.00     23.57   83.27   85.00   81.60    0.83
 48    3800          0.00     29.60   84.17   87.83   80.80    0.84
 52    4000          0.00     40.33   86.52   87.04   86.00    0.87
 56    4200          0.00     28.49   83.19   87.61   79.20    0.83
 60    4400          0.00     17.32   85.37   85.54   85.20    0.85
 64    4600          0.00      9.87   85.32   84.65   86.00    0.85
 69    4800          0.00     16.52   86.06   85.71   86.40    0.86
